objectid,identifier,notes,orderid,title,description,creator,location,date,dateCreated:start,dateCreated:end,type,content_type,format,subject,subject#0,subject#1,subject#2,subject#3,subject#4,subject#5,filename,customtext:LCHSObjectID,rights,location:placename/en2,display_template,object_location,image_small,image_thumb
01-05-309,01-05-309,,,McConnell Mansion,McConnell Mansion,,"Moscow, ID",1969,1969,,Image;StillImage,,image/jpeg,Residential; McConnell Mansion; Idaho,Residential,McConnell Mansion,,,,Idaho,01-05-309.jpg,01-05-309,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-309.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-309_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-309_th.jpg
01-05-325,01-05-325,,,Homes on the 1992 house tour,"Proof sheet of 37 images of homes and gardens on the 1992 house tour. 01-05-325.01 to .05 643 East B St., Whitson/Sanchez home 01-05-325.06 to .09 325 NORTH POLK, MILLER, EVAN/LESLIE WILSON 01-05-325.10 to .12 418 EAST B STREET, DENHAM/GODWIN 01-05-325.13 410 EAST B STREET, KAUFMAN 01-05-325.21 & .22 124 NORTH POLK, RYRIE/SANDERS 01-05-325.23 & .24 URSULINE CONVENT WALLS 01-05-325.25,.26 &.31 328 North Polk St., Howard David/Butterfield home 01-05-325.27 & .28 604 East A St., Hall home 01-05-325.29 & .30 605 East A St., Elder home 01-05-325.32 & .33 403 N. Polk St., Butterfield/Fryatt home 01-05-325.34 221 N. Adams, Charles Shields home 01-05-325.35 & .36 430 East A St., Carriage House, Day/Siems home 01-05-325.37 430 E. A St., Day Mansion 5""x7"" prints of the following: 01-05-325.14 and .15 (.16 & .17) 404 N. Hayes garden belonging to Bowler/Wright 01-05-325.18 (.19 & .20) 826 Orchard Ave., home of Charles Decker",,"Moscow, ID",1992,1992,,Image;StillImage,,image/jpeg,Residential; Idaho,Residential,,,,,Idaho,01-05-325.jpg,01-05-325,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-325.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-325_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-325_th.jpg
01-05-326,01-05-326,,,homes on the 1992 house tour,"Proof sheet of 16 images of homes and gardens on the 1992 house tour 01-05-325.08 &.09 411 East B St., Baker home 01-05-326.11 to .13 643 E B St, Moscow, ID, garden belonging to Whitson /Sanchez home 05-05-326.15 &.16 Fort Russell marker",,"Moscow, ID",1992,1992,,Image;StillImage,,image/jpeg,Residential; Idaho,Residential,,,,,Idaho,01-05-326.jpg,01-05-326,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-326.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-326_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-326_th.jpg
01-05-329,01-05-329,,,Butterfield House,"Butterfield house, 403 N Polk St., Moscow, ID Constructed 1902-03 On 1996 home tour",,"Moscow, ID",1996,1996,,Image;StillImage,,image/jpeg,Residential; Idaho,Residential,,,,,Idaho,01-05-329.jpg,01-05-329,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-329.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-329_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-329_th.jpg
01-05-355,01-05-355,,,621 East C. St.,"621 East C St., Kenworthy/Reid, Moscow, ID on 1993 house tour",,"Moscow, ID",1990,199?,,Image;StillImage,,image/jpeg,Residential; Idaho,Residential,,,,,Idaho,01-05-355.jpg,01-05-355,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-355.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-355_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-355_th.jpg
01-05-381,01-05-381,,,Home at N. Polk and C Sts,"North Polk AND C St., Formerly Mark Metler and Bailey residence. Run as a group home in the 1980s by the Skramstads. Donor: Daily News",,"Moscow, ID",1980,1980s,,Image;StillImage,,image/jpeg,Residential; Idaho,Residential,,,,,Idaho,01-05-381.jpg,01-05-381,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-381.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-381_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-381_th.jpg
01-05-382,01-05-382,,,"122 S. Howard St., Frank Robinson home","122 South Howard, F.B. Robinson home Donors: A. Robinson and F. Ashby",,"Moscow, ID",,,,Image;StillImage,,image/jpeg,Residential; Idaho,Residential,,,,,Idaho,01-05-382.jpg,01-05-382,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-382.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-382_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-382_th.jpg
01-05-436,01-05-436,,,Lampman House,"517 East B, Moscow, ID C E Lampman residence",,"Moscow, ID",1940,ca 1940,,Image;StillImage,,image/jpeg,Residential; Idaho,Residential,,,,,Idaho,01-05-436.jpg,01-05-436,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-436.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-436_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-436_th.jpg
01-05-449,01-05-449,,,Franklin E. Mix homestead,Franklin E. Mix homestead showing old hwy 95 heading north on the left (no Almon or Mix Rd.) Donor: John Mix,,"Moscow, ID",1910,c. 1910,,Image;StillImage,,image/jpeg,Residential; Idaho,Residential,,,,,Idaho,01-05-449.jpg,01-05-449,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-05-449.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-05-449_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-05-449_th.jpg
01-06-011,01-06-011,,,First United Methodist Church,"First United Methodist Church, Moscow, ID",,"Moscow, ID",1980,1980,,Image;StillImage,,image/jpeg,Moscow Public Buildings; Churches; Idaho,Moscow Public Buildings,Churches,,Idaho,,,01-06-011.jpg,01-06-011,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-06-011.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-06-011_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-06-011_th.jpg
01-06-015,01-06-015,,,St. Mark's Episcopal Church,"St. Mark's Episcopal Church, Moscow, ID",,"Moscow, ID",1911,>1911,,Image;StillImage,,image/jpeg,Moscow Public Buildings; Churches; Idaho,Moscow Public Buildings,Churches,,Idaho,,,01-06-015.jpg,01-06-015,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-06-015.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-06-015_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-06-015_th.jpg
01-06-043,01-06-043,,,Carnegie Library,"Carnegie Library, Moscow, ID Donor: E Fiscus",,"Moscow, ID",1908,ca.1908,,Image;StillImage,,image/jpeg,Moscow Public Buildings; Library; Idaho,Moscow Public Buildings,Library,,Idaho,,,01-06-043.jpg,01-06-043,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-06-043.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-06-043_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-06-043_th.jpg
01-06-045,01-06-045,,,Carnegie Library,"Carnegie Library, Moscow Public Library, Moscow, ID",,"Moscow, ID",1980,1980,,Image;StillImage,,image/jpeg,Moscow Public Buildings; Library; Idaho,Moscow Public Buildings,Library,,Idaho,,,01-06-045.jpg,01-06-045,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-06-045.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-06-045_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-06-045_th.jpg
01-06-089,01-06-089,,,"Post Office/Federal Building, newly constructed","Old Post Office/Federal Building, newly constructed",,"Moscow, ID",1910,1910,,Image;StillImage,,image/jpeg,Moscow Public Buildings; Post Office; Idaho,Moscow Public Buildings,Post Office,,Idaho,,,01-06-089.jpg,01-06-089,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-06-089.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-06-089_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-06-089_th.jpg
01-06-091a,01-06-091a,,,1912 Center tree removal,Tree removal at the 1912 Center prior to building a parking lot on the west side of the building,,"Moscow, ID",2012,2012,,Image;StillImage,,image/jpeg,Moscow Public Buildings; 1912 Center; Idaho,Moscow Public Buildings,1912 Center,,Idaho,,,01-06-091a.jpg,01-06-091a,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-06-091a.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-06-091a_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-06-091a_th.jpg
01-06-096a,01-06-096a,,,Old Post Office interior,Old Post Office,,"Moscow, ID",1910,1910,,Image;StillImage,,image/jpeg,Moscow Public Buildings; Post Office; Idaho,Moscow Public Buildings,Post Office,,Idaho,,,01-06-096a.jpg,01-06-096a,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-06-096a.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-06-096a_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-06-096a_th.jpg
01-06-099,01-06-099,,,old Moscow Post Office,Old Post Office,,"Moscow, ID",1980,1980,,Image;StillImage,,image/jpeg,Moscow Public Buildings; Post Office; Idaho,Moscow Public Buildings,Post Office,,Idaho,,,01-06-099.jpg,01-06-099,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-06-099.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-06-099_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-06-099_th.jpg
01-06-122.02,01-06-122.02,,,Moscow High School Christmas geeting,"First Moscow High School, Christmas Greetings",,"Moscow, ID",1915,1915,,Image;StillImage,,image/jpeg,Moscow Public Buildings; Schools; 1912 Center; Idaho,Moscow Public Buildings,Schools,1912 Center,Idaho,,,01-06-122.02.jpg,01-06-122.02,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-06-122.02.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-06-122.02_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-06-122.02_th.jpg
01-06-141,01-06-141,,,Moscow High School,Moscow High School members of classes 1899 and 1900 seated in a classroom,,"Moscow, ID",1899,1899,,Image;StillImage,,image/jpeg,Moscow Public Buildings; Schools; Idaho,Moscow Public Buildings,Schools,,Idaho,,,01-06-141.jpg,01-06-141,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-06-141.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-06-141_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-06-141_th.jpg
01-06-159,01-06-159,,,Moscow City Band on Post Office steps,Moscow City Band on Post Office steps,,"Moscow, ID",1912,1912,,Image;StillImage,,image/jpeg,Moscow Public Buildings; Post Office; Idaho,Moscow Public Buildings,Post Office,,Idaho,,,01-06-159.jpg,01-06-159,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-06-159.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-06-159_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-06-159_th.jpg
01-06-176,01-06-176,,,"8th grade graduation, 1908","8th grade graduation, 1908 Back row l to r: Ralph Lauder, Julia Cummings, Ethel Kroh, Miss Madsen (teacher), Mr. Carlson (teacher), Katherine Keane, Tessie Keane, Rebecca Russell, Mary Nolan, Miss Smith (teacher), Mr. Morgareidge Vroman (Principal of Irving School), Gladys Nankervis, Ray Martin Middle row l to r: Fred Clough, Bertha Whitley, Gertrude Miller, Mary Crozier, Arthur Heick, Clara Abrahamson, ? Hansen, Harry Harrington, Edna Horton, Mildred Martin, Ruth Edgett, ? Hollingshead, Bessie Dowdy, Orin Edgett Front row l to r: Ben Stewart, Marjorie Zumhof, Lillian Carithers, Clarice Moody, Edith Toole, Bertha Mulfinger, Hazel Garten, Mamie Laws, Camille Smith, Elizabeth Tracy, Leon Richcreek, Emma Sundel, Winniefred Edmondson, Anita Taylor, Raymond Safford, Marguerite Bourne Donor: Clarice Moody Sampson",,"Moscow, ID",1908,1908,,Image;StillImage,,image/jpeg,Moscow Public Buildings; Schools; Idaho,Moscow Public Buildings,Schools,,Idaho,,,01-06-176.jpg,01-06-176,"Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.",,image,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-06-176.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-06-176_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-06-176_th.jpg
