identifier,title,description,creator,location,date,dateCreated:start,dateCreated:end,type,content_type,format,subject,subject#0,subject#1,subject#2,subject#3,subject#4,subject#5,filename,customtext:LCHSObjectID,rights,location:placename/en2,locationCreated:placename,object_thumb,object_location,reference_url
"01-02-011","Moscow&#39;s Greatest Celebration","Parade on Main Street of Moscow, Idaho. Banner in the background reads &quot;Moscow&#39;s Greatest Celebration&quot;.","","Moscow, Idaho","1905","1905","1915","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Street Scene; Celebration; Parade; Flag; Downtown Moscow","Main Street","Street Scene","Celebration","Parade","Flag","Downtown Moscow","01-02-011.jpg","01-02-011","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-011_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-011.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-011.html"
"01-02-012","Downtown Christmas","Photo taken of downtown at night on Christmas from The Idahonian files.","","Moscow, Idaho","1930","1930","1940","Image;StillImage","PHOTOGRAPH","image/jpeg","Downtown Moscow; Snow; Christmas; Night; Rooftop Photo; Street Scene","Downtown Moscow","Snow","Christmas","Night","Rooftop Photo","Street Scene","01-02-012.jpg","01-02-012","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-012_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-012.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-012.html"
"01-02-014","Marching Band","Moscow High School Marching Band in a parade on Main Street, Moscow.","","Moscow, Idaho","1930","1930","1940","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Nobby Inn; Washington Water &amp; Power; Fonk&#39;s Stores; Hutchison Studio; Marching Band","Main Street","Nobby Inn","Washington Water Power","Fonk&#39;s Stores","Hutchison Studio","Marching Band","01-02-014.jpg","01-02-014","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-014_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-014.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-014.html"
"01-02-015","Main Street World War II Parade","Parade marching down Main Street in Moscow during World War II.","","Moscow, Idaho","1940","1940","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Parade; World War II; JC Penney; Kenworthy; Nuart","Main Street","Parade","World War II","JC Penney","Kenworthy","Nuart","01-02-015.jpg","01-02-015","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-015_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-015.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-015.html"
"01-02-016","Fat Man&#39;s Race","Fourth of July Fat Man&#39;s Race on Main Street in  Moscow. &quot;Several fat men and Casper Tyleden in the dark vest and pants entererd the race. Someone said put a rider on the big Swede he is not a fat man, however he weighed the minimum. The other fat men who started the race had dropped out when the picture was taken. Tylden was just gaining his speed at this point and won the race by quite a margin. His comment after the race was, &quot;If we had to have gone further I would have beat him badly&quot;.","","Moscow, Idaho","1911-07-04","1911-07-04","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Fat Man&#39;s Race; Fourth of July; Cloak Store; Parade; Moscow Hotel","Main Street","Fat Man&#39;s Race","Fourth of July","Cloak Store","Parade","Moscow Hotel","01-02-016.jpg","01-02-016","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-016_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-016.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-016.html"
"01-02-017","World War II Parade","A parade in Moscow on Main Street that took place during World War II for Army Day.","","Moscow, Idaho","1940","1940","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Parade; World War II; Nuart; Kenworthy; Paper House","Main Street","Parade","World War II","Nuart","Kenworthy","Paper House","01-02-017.jpg","01-02-017","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-017_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-017.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-017.html"
"01-02-018","Main Street Postcard","Tinted Postcard of Main Street Moscow.","","Moscow, Idaho","1911","1911","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Postcard; Downtown Moscow; Spokane Postcard Company; Local Business; Tinted Postcard","Main Street","Postcard","Downtown Moscow","Spokane Postcard Company","Local Business","Tinted Postcard","01-02-018.jpg","01-02-018","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-018_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-018.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-018.html"
"01-02-019","Fourth and Main Street Postcard","A postcard of Fourth and Main Street in Downtown Moscow Idaho.","","Moscow, Idaho","1915","1915","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Fourth Street; Postcard; Downtown Moscow; Corner Drug Store; Glenn&#39;s News","Main Street","Fourth Street","Postcard","Downtown Moscow","Corner Drug Store","Glenn&#39;s News","01-02-019.jpg","01-02-019","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-019_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-019.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-019.html"
"01-02-020","East Side Main Street Postcard","A postcard of the east side of Main Street.","","Moscow, Idaho","1914","1914","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Postcard; Williamson&#39;s; Cloak Store; Downtown Moscow; Moscow Business College","Main Street","Postcard","Williamson&#39;s","Cloak Store","Downtown Moscow","Moscow Business College","01-02-020.jpg","01-02-020","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-020_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-020.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-020.html"
"01-02-021","Main and Third Street","Photograph of Main Street and Third Street facing east where some wooden sidewalks can be seen.","","Moscow, Idaho","1885","1885","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Third Street; W.W. Langdon Store; G. Weber&#39;s Harness Shop; Liquor Store; Saloon","Main Street","Third Street","W.W. Langdon Store","G. Weber&#39;s Harness Shop","Liquor Store","Saloon","01-02-021.jpg","01-02-021","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-021_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-021.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-021.html"
"01-02-022","Celebrating the Armistice","A celebration and parade on Main Street in regards to the Signing of the Armistice in 1918.","","Moscow, Idaho","1918","1918","","Image;StillImage","PHOTOGRAPH","image/jpeg","Armistice; Celebration; Hodgins Photo; Main Street; Williamson&#39;s; Parade","Armistice","Celebration","Hodgins Photo","Main Street","Williamson&#39;s","Parade","01-02-022.jpg","01-02-022","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-022_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-022.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-022.html"
"01-02-024","Parade Postcard","A pararade on Main Streeet of Moscow in 1915 featured on a postcard. The photo shows Florence and Myra Fenn pulling their brother Charles in a card on Main Street.","","Moscow, Idaho","1915","1915","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Parade; Pastime; Postcard; Downtown Moscow; Celebration","Main Street","Parade","Pastime","Postcard","Downtown Moscow","Celebration","01-02-024.jpg","01-02-024","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-024_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-024.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-024.html"
"01-02-025","Moscow High School","A photograph at Adams Street and Third Street showing Moscow High School, now the 1912 Center, and Methodist Church.","","Moscow, Idaho","1915","1915","","Image;StillImage","PHOTOGRAPH","image/jpeg","Adams Street; Moscow High School; Methodist Church; 1912 Center; Street Scene; Third Street","Adams Street","Moscow High School","Methodist church","1912 Center","Street Scene","Third Street","01-02-025.jpg","01-02-025","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-025_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-025.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-025.html"
"01-02-027","Marching Band on Main Street","Marching Band on Main Street in Moscow in a parade.","","Moscow, Idaho","1911","1911","","Image;StillImage","PHOTOGRAPH","image/jpeg","Potlatch Lumber Company; Welcome Banner; Celebration; Marching Band; Parade; Main Street","Potlatch Lumber Company","Welcome Banner","Celebration","Marching Band","Parade","Main Street","01-02-027.jpg","01-02-027","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-027_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-027.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-027.html"
"01-02-029","Horse Cart Advertising","A horse cart advertises Inland Market in front of Tom Keene Cigar Store during the 1911 Fourth of July Parade in Moscow.","","Moscow, Idaho","1911","1911","","Image;StillImage","PHOTOGRAPH","image/jpeg","Inland Market; Fourth of July; Parade; Tom Keene Cigar; Downtown Moscow; Celebration","Inland Market","Fourth of July","Parade","Tom Keene Cigar","Downtown Moscow","Celebration","01-02-029.jpg","01-02-029","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-029_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-029.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-029.html"
"01-02-030","Main Street Postcard","A postcard ca. 1910 showing the Main Street of Moscow.","","Moscow, Idaho","1910","1910","","Image;StillImage","PHOTOGRAPH","image/jpeg","Postcard; Main Street; Downtown Moscow; Moscow Hotel; Hodgins Drugs; Williamson&#39;s","Postcard","Main Street","Downtown Moscow","Moscow Hotel","Hodgins Drugs","Williamsons","01-02-030.jpg","01-02-030","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-030_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-030.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-030.html"
"01-02-031","Main and Fourth Street Postcard","A postcard looking North at Main Street with Fourth street in the foreground taken in the early 1900&#39;s before the streets were paved in 1912.","","Moscow, Idaho","1910","1910","","Image;StillImage","PHOTOGRAPH","image/jpeg","Postcard; Main Street; Fourth Street; McConnell-Maguire; Motter Wheeler; Downtown Moscow","Postcard","Main Street","Fourth Street","McConnell-Maguire","Motter-Wheeler","Downtown Moscow","01-02-031.jpg","01-02-031","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-031_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-031.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-031.html"
"01-02-032","Moscow Holiday Postcard","A tinted Holiday Postcard showing a scene of Main Street.","","Moscow, Idaho","1940","1940","","Image;StillImage","PHOTOGRAPH","image/jpeg","Postcard; Main Street; Williamson&#39;s; Holiday; Christmas; Downtown Moscow","Postcard","Main Street","Williamson&#39;s","Holiday","Christmas","Downtown Moscow","01-02-032.jpg","01-02-032","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-032_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-032.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-032.html"
"01-02-033","Moscow Pedestrians","Photograph shows pedestrians walking on Main Street across from Fonk&#39;s 5 cent and 1 dollar store looking West between Fourth and Fifth Street.","","Moscow, Idaho","1950","1950","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Pedestrians; Fonk&#39;s; Fourth Street; Fifth Street; Downtown Moscow","Main Street","Pedestrians","Fonk&#39;s","Fourth Street","Fifth Street","Downtown Moscow","01-02-033.jpg","01-02-033","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-033_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-033.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-033.html"
"01-02-034","Firefighters spraying water on a blaze on Main Street with fire hoses. the fire broke out between 2nd and 3rd streets between Shorty&#39;s and Maxine&#39;s.","Frfighters spraying water on a blaze on Main Street with fire hoses. the fire broke out between 2nd and 3rd streets between Shorty&#39;s and Maxine&#39;s.","","Moscow, Idaho","1953-01-31","1953-01-31","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Firefighters; Hose; Mid Century; Water; Idaho","Main Street","Firefighters","Hose","Mid Century","Water","Idaho","01-02-034.jpg","01-02-034","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-034_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-034.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-034.html"
"01-02-035","Main Street fire in Moscow","Crowds gathered on Main Street as firefighters work to put out the blaze near Maxine&#39;s and Shorty&#39;s.","","Moscow, Idaho","1953-01-31","1953-01-31","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Firefighters; Gathering Crowds; Farmer&#39;s Insurance; Willett Bros; Dog","Main Street","Firefighters","Gathering Crowds","Farmer&#39;s Insurance","Willett Bros","Dog","01-02-035.jpg","01-02-035","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-035_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-035.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-035.html"
"01-02-036","Main Street North","Looking North on Main Street when it was still merely a dirt road, showing Blanchard Cigar Store and Friedman Harness Shop.","","Moscow, Idaho","1901","1901","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Blanchard; Friedman; 5th Street; Street Scene; Idaho","Main Street","Blanchard","Friedman","5th Street","Street Scene","Idaho","01-02-036.jpg","01-02-036","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-036_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-036.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-036.html"
"01-02-037","Moscow&#39;s Town Advertisement","Looking at Main Street with horse drawn carriages  and used as an image for an advertisement advising potential citizens of the description and amenities of Moscow.","","Moscow, Idaho","1909","1909","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Horse Drawn Carriage; Electricity; Dirt Road; Street Scene; Idaho","Main Street","Horse Drawn Carriage","Electricity","Dirt Road","Street Scene","Idaho","01-02-037.jpg","01-02-037","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-037_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-037.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-037.html"
"01-02-038","Fourth Street and Main","A street scene on the corner of Fourth Street and Main Street with a family walking together, and the boys wearing smilar checkered jackets.","","Moscow, Idaho","1950","1950","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; City Hall; Family; State Highway Stop; Fourth Street; Idaho","Main Street","City Hall","Family","State Highway Stop","Fourth Street","Idaho","01-02-038.jpg","01-02-038","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-038_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-038.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-038.html"
"01-02-039","Main Street and Moscow Commission Co.","Main Street scene picturing Moscow Commission Feed &amp; Fuel &quot;The Home of Chicken Little&quot; and local grain elevator which are located between 7th and 8th Streets","","Moscow, Idaho","1950","1950","","Image;StillImage","PHOTOGRAPH","image/jpeg","Main Street; Moscow Commision Co.; Chicken Little; Feed and Fuel; Grain Elevator; Idaho","Main Street","Moscow Commision Co.","Chicken Little","Feed and Fuel","Grain Elevator","Idaho","01-02-039.jpg","01-02-039","Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information.","","","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-02-039_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-02-039.jpg","https://latahcountyhistoricalsociety.github.io/moscow-pilot/items/01-02-039.html"
